CLAVE DE LA NORMA,TITULO,F. PUBLICACIÓN,F. ENTRADA EN VIGOR,TIPO NORMA,NORMA INTERNACIONAL,PRODUCTO,CONCORDANCIA,RAE,DEPENDENCIA,CCNN,DOCUMENTO
NOM-010-CONAGUA-2000,VÁLVULA DE ADMISIÓN Y VÁLVULA DE DESCARGA PARA TANQUE DE INODORO-ESPECIFICACIONES Y MÉTODOS DE PRUEBA.,2003-09-02T00:00:00Z,2004-02-29T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,VALVULAS PARA INODOROS,NO APLICA,OTRAS INDUSTRIAS MANUFACTURERAS,SEMARNAT,CCNN DEL SECTOR AGUA (CONAGUA),http://www.economia-noms.gob.mx/normas/noms/2003/010cna.pdf
NOM-010-ENER-2004,EFICIENCIA ENERGÉTICA DEL CONJUNTO MOTOR BOMBA SUMERGIBLE TIPO POZO PROFUNDO. LÍMITES Y MÉTODO DE PRUEBA.,2005-04-18T00:00:00Z,2005-07-17T00:00:00Z,DEFINITIVA,ISO 9906 ROTODYNAMIC PUMPS-HYDRAULIC PERFORMANCE ACCEPTANCE TEST -GRADES 1 AND 2 FIRST EDITION.,BOMBAS,PARCIALMENTE,FABRICACIÓN DE EQUIPO DE GENERACIÓN ELÉCTRICA Y APARATOS Y ACCESORIOS ELÉCTRICOS,SECRETARÍA DE ENERGÍA,CCNN PARA LA PRESERVACION Y USO RACIONAL DE LOS RECURSOS ENERGETICOS (ENER),http://www.economia-noms.gob.mx/normas/noms/2005/nom010ener2004.pdf
NOM-010-FITO-1995,POR LA QUE SE ESTABLECE LA CUARENTENA EXTERIOR PARA PREVENIR LA  INTRODUCCIÓN DE PLAGAS DEL PLÁTANO.,1996-11-18T00:00:00Z,1996-11-19T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,PLATANO,NO APLICA,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SAGARPA,CCNN DE PROTECCION FITOSANITARIA (FITO),http://www.economia-noms.gob.mx/normas/noms/1996/010fito.pdf
NOM-010-SCFI-1994,INSTRUMENTOS DE MEDICIÓN-INSTRUMENTOS PARA PESAR DE FUNCIONAMIENTO NO  AUTOMÁTICO-REQUISITOS TÉCNICOS Y METROLÓGICOS (ESTA NORMA CANCELA LA  NOM-010-SCFI-1993).,1999-06-09T00:00:00Z,1999-08-08T00:00:00Z,DEFINITIVA,LINEAMIENTO INTERNACIONAL R-76-1 DE LA ORGANIZACIÓN INTERNACIONAL DE METROLOGÍA LEGAL.,INSTRUMENTOS DE MEDICION,PARCIALMENTE,"FABRICACIÓN DE EQUIPO DE COMPUTACIÓN, COMUNICACIÓN, DE MEDICIÓN Y DE OTROS EQUIPOS, COMPONENTES Y AC",SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2010/nom010scfi94.pdf
NOM-010-SCT2/2009,"DISPOSICIONES DE COMPATIBILIDAD Y SEGREGACIÓN PARA EL ALMACENAMIENTO Y TRANSPORTE DE SUBSTANCIAS, MATERIALES Y RESIDUOS PELIGROSOS.",2009-09-01T00:00:00Z,2009-10-31T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO DE LA NOM.,MATERIALES PELIGROSOS,TOTALMENTE,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE TERRESTRE (SCT2),http://www.economia-noms.gob.mx/normas/noms/2009/010sct209.pdf
NOM-010-SECRE-2002,GAS NATURAL COMPRIMIDO PARA USO AUTOMOTOR. REQUISITOS MÍNIMOS DE SEGURIDAD PARA ESTACIONES DE SERVICIO.,2002-10-23T00:00:00Z,2002-12-22T00:00:00Z,DEFINITIVA,ESTA NORMA NO CONCUERDA CON NORMA INTERNACIONAL ALGUNA.,GAS,NO APLICA,AGUA Y SUMINISTRO DE GAS POR DUCTOS,SECRETARÍA DE ENERGÍA,CCNN DE GAS NATURAL (SECRE),http://www.economia-noms.gob.mx/normas/noms/2002/010secre.pdf
NOM-010-SEMARNAT-1996,"QUE ESTABLECE LOS PROCEDIMIENTOS, CRITERIOS Y ESPECIFICACIONES PARA  REALIZAR EL APROVECHAMIENTO, TRANSPORTE Y ALMACENAMIENTO DE HONGOS.",1996-05-28T00:00:00Z,1996-05-29T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION VEGETAL,NO APLICA,APROVECHAMIENTO FORESTAL,SEMARNAT,CCNN DEL MEDIO AMBIENTE Y RECURSOS NATURALES,http://www.economia-noms.gob.mx/normas/noms/1996/010-recn.pdf
NOM-010-SESH-2012,APARATOS DOMÉSTICOS PARA COCINAR ALIMENTOS QUE UTILIZAN GAS L.P. O GAS NATURAL. ESPECIFICACIONES Y MÉTODOS DE PRUEBA.,2013-05-29T00:00:00Z,2013-11-26T00:00:00Z,DEFINITIVA,ESTA NORMA OFICIAL MEXICANA NO ES EQUIVALENTE CON ALGUNA NORMA INTERNACIONAL.,ESTUFAS PARA EL COCINADO DE ALIMENTOS,NO APLICA,OTRAS INDUSTRIAS MANUFACTURERAS,SECRETARÍA DE ENERGÍA,CCNN EN MATERIA DE HIDROCARBUROS,http://www.economia-noms.gob.mx/normas/noms/2010/010sesh2013.pdf
NOM-010-SSA2-2010,PARA LA PREVENCIÓN Y EL CONTROL DE LA INFECCIÓN POR VIRUS DE LA INMUNODEFICIENCIA HUMANA.,2010-11-10T00:00:00Z,2010-11-11T00:00:00Z,DEFINITIVA,ESTA NORMA NO ES EQUIVALENTE A NINGUNA OTRA NORMA MEXICANA O INTERNACIONAL.,PROTECCION HUMANA,NO APLICA,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE SALUD,CCNN DE PREVENCION Y CONTROL DE ENFERMEDADES (SSA2).,http://www.economia-noms.gob.mx/normas/noms/2010/010ssa2010.pdf
NOM-010-STPS-1999,"CONDICIONES DE SEGURIDAD E HIGIENE EN LOS CENTROS DE TRABAJO DONDE MANEJEN, TRANSPORTEN, PROCESEN O ALMACENEN SUSTANCIAS QUÍMICAS CAPACES DE GENERAR CONTAMINACIÓN.",2000-03-13T00:00:00Z,2001-08-17T00:00:00Z,DEFINITIVA,ESTA NORMA NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL.,SERVICIOS,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SECRETARÍA DE TRABAJO Y PREVISIÓN SOCIAL,CCNN DE SEGURIDAD Y SALUDA EN EL TRABAJO (STPS),http://www.economia-noms.gob.mx/normas/noms/2000/010stps.pdf
NOM-010-STPS-2014,"AGENTES QUÍMICOS CONTAMINANTES DEL AMBIENTE LABORAL-RECONOCIMIENTO, EVALUACIÓN Y CONTROL.",2014-04-28T00:00:00Z,2016-04-28T00:00:00Z,DEFINITIVA,ESTA NORMA NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL,PROTECCION LABORAL,NO APLICA,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE TRABAJO Y PREVISIÓN SOCIAL,CCNN DE SEGURIDAD Y SALUDA EN EL TRABAJO (STPS),http://www.economia-noms.gob.mx/normas/noms/2010/010stps2014.pdf
NOM-010-TUR-2001,"DE LOS REQUISITOS QUE DEBEN CONTENER LOS CONTRATOS QUE CELEBREN LOS PRESTADORES DE SERVICIOS TURÍSTICOS CON LOS USUARIOS-TURISTAS. (CANCELA LA NORMA OFICIAL MEXICANANOM-010-TUR-1999).
",2002-02-02T00:00:00Z,2002-03-03T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,SERVICIOS,NO APLICA,SERVICIOS DE ALOJAMIENTO TEMPORAL,SECRETARÍA DE TURISMO,CCNN TURISTICA (TUR),http://www.economia-noms.gob.mx/normas/noms/2002/010tur.pdf
NOM-010-ZOO-1994,"DETERMINACIÓN DE COBRE, PLOMO Y CADMIO EN HÍGADO, MÚSCULO Y RIÑÓN DE  BOVINOS, EQUINOS, PORCINOS, OVINOS Y AVES, POR ESPECTROMETRÍA DE  ABSORCIÓN ATÓMICA.",1995-01-09T00:00:00Z,1995-01-10T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,"CARNE (BOVINO, EQUINO, OVINO Y PORCINO)",NO APLICA,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SAGARPA,CCNN DE PROTECCION ZOOSANITARIA (ZOO),http://www.economia-noms.gob.mx/normas/noms/1995/010-zoo.pdf
NOM-011-CONAGUA-2000,CONSERVACIÓN DEL RECURSO AGUA-QUE ESTABLECE LAS ESPECIFICACIONES Y EL MÉTODO PARA DETERMINAR LA DISPONIBILIDAD MEDIA ANUAL DE LAS AGUAS NACIONALES.,2002-04-17T00:00:00Z,2002-06-16T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,AGUA,NO APLICA,AGUA Y SUMINISTRO DE GAS POR DUCTOS,SEMARNAT,CCNN DEL SECTOR AGUA (CONAGUA),http://www.economia-noms.gob.mx/normas/noms/2002/011cna.pdf
NOM-011-ENER-2006,"EFICIENCIA ENERGÉTICA EN ACONDICIONADORES DE AIRE TIPO CENTRAL, PAQUETE O DIVIDIDO. LÍMITES, MÉTODOS DE PRUEBA Y ETIQUETADO.",2007-06-22T00:00:00Z,2007-08-21T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,ACONDICIONADORES,NO APLICA,FABRICACIÓN DE EQUIPO DE GENERACIÓN ELÉCTRICA Y APARATOS Y ACCESORIOS ELÉCTRICOS,SECRETARÍA DE ENERGÍA,CCNN PARA LA PRESERVACION Y USO RACIONAL DE LOS RECURSOS ENERGETICOS (ENER),http://www.economia-noms.gob.mx/normas/noms/2007/011ener2006.pdf
NOM-011-FITO-1995,POR LA QUE SE ESTABLECE LA CUARENTENA EXTERIOR PARA PREVENIR LA  INTRODUCCIÓN DE PLAGAS DE LOS CÍTRICOS.,1996-09-24T00:00:00Z,1996-09-25T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,CITRICOS,NO APLICA,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SAGARPA,CCNN DE PROTECCION FITOSANITARIA (FITO),http://www.economia-noms.gob.mx/normas/noms/1996/011-fito.pdf
NOM-011-PESC-1993,"PARA REGULAR LA APLICACIÓN DE CUARENTENAS, A EFECTO DE PREVENIR LA  INTRODUCCIÓN Y DISPERSIÓN DE ENFERMEDADES CERTIFICABLES Y  NOTIFICABLES, EN LA IMPORTACIÓN DE ORGANISMOS ACUÁTICOS VIVOS EN CUALESQUIERA DE SUS FASES DE DESARROLLO, DESTINADOS A LA ACUACULTURA.",1994-08-16T00:00:00Z,1995-08-17T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO.,PROTECCION ANIMAL,PARCIALMENTE,"PESCA, CAZA Y CAPTURA",SAGARPA,CCNN DE NORMALIZACIÓN AGROALIMENTARIA (SAGARPA),http://www.economia-noms.gob.mx/normas/noms/1994/011-pesc.pdf
NOM-011-SCFI-2004,INSTRUMENTOS DE MEDICIÓN-TERMÓMETROS DE LÍQUIDO EN VIDRIO PARA USO GENERAL-ESPECIFICACIONES Y MÉTODOS DE PRUEBA.,2004-10-15T00:00:00Z,2004-12-14T00:00:00Z,DEFINITIVA,ISO 1770-1981 SOLID-STEM GENERAL PURPOSE THERMOMETERS.,INSTRUMENTOS DE MEDICION,TOTALMENTE,"FABRICACIÓN DE EQUIPO DE COMPUTACIÓN, COMUNICACIÓN, DE MEDICIÓN Y DE OTROS EQUIPOS, COMPONENTES Y AC",SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2004/011scfi.pdf
NOM-011-SCT2/2012,CONDICIONES PARA EL TRANSPORTE DE LAS SUBSTANCIAS Y MATERIALES PELIGROSOS ENVASADAS Y/O EMBALADAS EN CANTIDADES LIMITADAS.,2012-07-05T00:00:00Z,2012-09-03T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO DE LA NOM.,MATERIALES PELIGROSOS,TOTALMENTE,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE TERRESTRE (SCT2),http://www.economia-noms.gob.mx/normas/noms/2010/011sct22012.pdf
NOM-011-SCT3-2001,QUE ESTABLECE LAS ESPECIFICACIONES PARA LAS PUBLICACIONES TÉCNICAS AERONÁUTICAS.,2001-12-03T00:00:00Z,2002-02-01T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO.,AERONAVES,NO APLICA,TRANSPORTE AÉREO,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE AEREO (SCT3),http://www.economia-noms.gob.mx/normas/noms/2001/011sct3.pdf
NOM-011-SECRE-2000,GAS NATURAL COMPRIMIDO PARA USO AUTOMOTOR. REQUISITOS MÍNIMOS DE SEGURIDAD EN INSTALACIONES VEHICULARES.,2002-10-23T00:00:00Z,2002-12-22T00:00:00Z,DEFINITIVA,ESTA NORMA NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL,GAS,NO APLICA,AGUA Y SUMINISTRO DE GAS POR DUCTOS,SECRETARÍA DE ENERGÍA,CCNN DE GAS NATURAL (SECRE),http://www.economia-noms.gob.mx/normas/noms/2002/011secre.pdf
NOM-011-SEMARNAT-1996,"QUE ESTABLECE LOS PROCEDIMIENTOS, CRITERIOS Y ESPECIFICACIONES PARA  REALIZAR EL APROVECHAMIENTO, TRANSPORTE Y ALMACENAMIENTO DE MUSGO,  HENO Y DORADILLA.",1996-06-26T00:00:00Z,1996-06-27T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION VEGETAL,NO APLICA,APROVECHAMIENTO FORESTAL,SEMARNAT,CCNN DEL MEDIO AMBIENTE Y RECURSOS NATURALES,http://www.economia-noms.gob.mx/normas/noms/1996/011-recn.pdf
NOM-011-SESH-2012,"CALENTADORES DE AGUA DE USO DOMÉSTICO Y COMERCIAL QUE UTILIZAN COMO COMBUSTIBLE GAS L.P. O GAS NATURAL.- REQUISITOS DE SEGURIDAD, ESPECIFICACIONES, MÉTODOS DE PRUEBA, MARCADO E INFORMACIÓN COMERCIAL (CANCELA A LA NOM-020-SEDG-2003).",2013-04-12T00:00:00Z,2013-10-09T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,CALENTADORES DE AGUA,NO APLICA,OTRAS INDUSTRIAS MANUFACTURERAS,SECRETARÍA DE ENERGÍA,CCNN EN MATERIA DE HIDROCARBUROS,http://www.economia-noms.gob.mx/normas/noms/2010/011sesh2013.pdf
NOM-011-SSA2-2011,PARA LA PREVENCIÓN Y CONTROL DE LA RABIA HUMANA Y EN LOS PERROS Y GATOS.,2011-12-08T00:00:00Z,2011-12-09T00:00:00Z,DEFINITIVA,ESTA NORMA NO ES CONCORDANTE CON NINGUNA NORMA INTERNACIONAL NI MEXICANA.,PROTECCION ANIMAL,NO APLICA,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE SALUD,CCNN DE PREVENCION Y CONTROL DE ENFERMEDADES (SSA2).,http://www.economia-noms.gob.mx/normas/noms/2010/011ssa2011.pdf
NOM-011-STPS-2001,CONDICIONES DE SEGURIDAD E HIGIENE EN LOS CENTROS DE TRABAJO DONDE SE GENERE RUIDO.,2002-04-17T00:00:00Z,2002-06-16T00:00:00Z,DEFINITIVA,ESTA NORMA OFICIAL MEXICANA NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL,PROTECCION LABORAL,NO APLICA,OTROS SERVICIOS DE ASISTENCIA SOCIAL,SECRETARÍA DE TRABAJO Y PREVISIÓN SOCIAL,CCNN DE SEGURIDAD Y SALUDA EN EL TRABAJO (STPS),http://www.economia-noms.gob.mx/normas/noms/2002/011stps.pdf
NOM-011-TUR-2001,"REQUISITOS DE SEGURIDAD, INFORMACIÓN Y OPERACIÓN QUE DEBEN CUMPLIR LOS PRESTADORES DE SERVICIOS TURÍSTICOS DE TURISMO DE AVENTURA.",2002-07-22T00:00:00Z,2002-10-15T00:00:00Z,DEFINITIVA,NO EXISTE REFERENCIA EN EL TEXTO,SERVICIOS,NO APLICA,"SERVICIOS ARTÍSTICOS Y DEPORTIVOS, Y OTROS SERVICIOS RELACIONADOS",SECRETARÍA DE TURISMO,CCNN TURISTICA (TUR),http://www.economia-noms.gob.mx/normas/noms/2002/011tur.pdf
NOM-011-ZOO-1994,"DETERMINACIÓN DE SULFONAMIDAS EN HÍGADO Y MÚSCULO DE BOVINOS, OVINOS,  EQUINOS, PORCINOS Y AVES POR CROMATOGRAFÍA CAPA FINA DENSITOMETRÍA.",1995-02-28T00:00:00Z,1995-03-01T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,"CARNE (BOVINO, EQUINO, OVINO Y PORCINO)",NO APLICA,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SAGARPA,CCNN DE PROTECCION ZOOSANITARIA (ZOO),http://www.economia-noms.gob.mx/normas/noms/1995/011-zoo.pdf
NOM-011/1-SEDG-1999,CONDICIONES DE SEGURIDAD DE LOS RECIPIENTES PORTÁTILES PARA CONTENER  GAS L.P. EN USO.,2000-03-30T00:00:00Z,2000-05-29T00:00:00Z,DEFINITIVA,ESTA NORMA NO TIENE CONCORDANCIA CON NORMAS INTERNACIONALES NI CON NORMAS MEXICANAS,RECIPIENTES,NO APLICA,FABRICACIÓN DE PRODUCTOS METÁLICOS,SECRETARÍA DE ENERGÍA,CCNN DE GAS L.P. (SEDG),http://www.economia-noms.gob.mx/normas/noms/2000/011-1sedg.pdf
NOM-012-NUCL-2002,"REQUERIMIENTOS Y CALIBRACIÓN DE MONITORES DE RADIACIÓN IONIZANTE.
",2002-06-19T00:00:00Z,2002-08-18T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA CON NORMAS INTERNACIONALES,PROTECCION HUMANA,NO APLICA,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",SECRETARÍA DE ENERGÍA,CCNN DE SEGURIDAD NUCLEAR Y SALVAGUARDIAS (NUCL),http://www.economia-noms.gob.mx/normas/noms/2002/012nucl.pdf
NOM-012-SCFI-1994,MEDICIÓN DE FLUJO DE AGUA EN CONDUCTOS CERRADOS DE SISTEMAS  HIDRÁULICOS-MEDIDORES PARA AGUA POTABLE FRÍA-ESPECIFICACIONES.,1997-10-29T00:00:00Z,1997-12-28T00:00:00Z,DEFINITIVA,OIML-R-49-1994,INSTRUMENTOS DE MEDICION,PARCIALMENTE,"FABRICACIÓN DE EQUIPO DE COMPUTACIÓN, COMUNICACIÓN, DE MEDICIÓN Y DE OTROS EQUIPOS, COMPONENTES Y AC",SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/1997/012-scfi.pdf
NOM-012-SCT-2-2008,SOBRE EL PESO Y DIMENSIONES MÁXIMAS CON LOS QUE PUEDEN CIRCULAR LOS VEHÍCULOS DE AUTOTRANSPORTE QUE TRANSITAN EN LAS VÍAS GENERALES DE COMUNICACIÓN DE JURISDICCIÓN FEDERAL,2008-04-01T00:00:00Z,2008-05-31T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,VEHÍCULOS AUTOMOTORES,NO APLICA,SERVICIOS RELACIONADOS CON EL TRANSPORTE,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE TERRESTRE (SCT2),http://www.economia-noms.gob.mx/normas/noms/2008/012sct2-2008.pdf
NOM-012-SCT3-2012,"QUE ESTABLECE LOS REQUERIMIENTOS PARA LOS INSTRUMENTOS, EQUIPO, DOCUMENTOS Y MANUALES QUE HAN DE LLEVARSE A BORDO DE LAS AERONAVES.",2012-08-14T00:00:00Z,2012-10-13T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO DE LA NOM,AERONAVES,TOTALMENTE,TRANSPORTE AÉREO,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE AEREO (SCT3),http://www.economia-noms.gob.mx/normas/noms/2010/012sct32012.pdf
NOM-012-SCT4-2007,LINEAMIENTOS PARA LA ELABORACIÓN DEL PLAN DE CONTINGENCIAS PARA EMBARCACIONES QUE TRANSPORTAN MERCANCÍAS PELIGROSAS.,2007-09-25T00:00:00Z,2007-11-24T00:00:00Z,DEFINITIVA, NO EXISTE CONCORDANCIA.,TERMINOLOGIA MARITIMA,NO APLICA,TRANSPORTE POR AGUA,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE MARITIMO Y PUERTOS (SCT4),http://www.economia-noms.gob.mx/normas/noms/2007/012sct4.pdf
NOM-012-SEMARNAT-1996,"QUE ESTABLECE LOS PROCEDIMIENTOS, CRITERIOS Y ESPECIFICACIONES PARA  REALIZAR EL APROVECHAMIENTO, TRANSPORTE Y ALMACENAMIENTO DE LEÑA PARA  USO DOMÉSTICO.",1996-06-26T00:00:00Z,1996-06-27T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION VEGETAL,NO APLICA,APROVECHAMIENTO FORESTAL,SEMARNAT,CCNN DEL MEDIO AMBIENTE Y RECURSOS NATURALES,http://www.economia-noms.gob.mx/normas/noms/1996/012-recn.pdf
NOM-012-SESH-2010,CALEFACTORES DE AMBIENTE PARA USO DOMÉSTICO QUE EMPLEEN COMO COMBUSTIBLE GAS L.P. O NATURAL. REQUISITOS DE SEGURIDAD Y MÉTODOS DE PRUEBA.,2010-11-26T00:00:00Z,2011-02-24T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,CALEFACTORES,NO APLICA,OTRAS INDUSTRIAS MANUFACTURERAS,SECRETARÍA DE ENERGÍA,CCNN EN MATERIA DE HIDROCARBUROS,http://www.economia-noms.gob.mx/normas/noms/2010/012sesh2010.pdf
NOM-012-SSA3-2012,QUE ESTABLECE LOS CRITERIOS PARA LA EJECUCIÓN DE PROYECTOS DE INVESTIGACIÓN PARA LA SALUD EN SERES HUMANOS.,2013-01-04T00:00:00Z,2013-03-05T00:00:00Z,DEFINITIVA,DECLARACIÓN DE HELSINKI DE LA ASOCIACIÓN MÉDICA MUNDIAL; PROTOCOLO DE ESTAMBUL,PROTECCION HUMANA,PARCIALMENTE,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE SALUD,"CCNN DE INNOVACION, DESARROLLO, TECNOLOGIAS E INFORMACION EN SALUD",http://www.economia-noms.gob.mx/normas/noms/2010/012ssa32013.pdf
NOM-012-STPS-2012,CONDICIONES DE SEGURIDAD Y SALUD EN LOS CENTROS DE TRABAJO DONDE SE MANEJEN FUENTES DE RADIACIÓN IONIZANTE.,2012-10-30T00:00:00Z,2013-03-01T00:00:00Z,DEFINITIVA,ESTA NORMA NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL,PROTECCION LABORAL,NO APLICA,ACTIVIDADES DEL GOBIERNO,SECRETARÍA DE TRABAJO Y PREVISIÓN SOCIAL,CCNN DE SEGURIDAD Y SALUDA EN EL TRABAJO (STPS),http://www.economia-noms.gob.mx/normas/noms/2010/012stps2012.pdf
NOM-012-ZOO-1993,"ESPECIFICACIONES PARA LA REGULACIÓN DE PRODUCTOS QUÍMICOS,  FARMACÉUTICOS, BIOLÓGICOS Y ALIMENTICIOS PARA USO EN ANIMALES O  CONSUMO POR ÉSTOS. (CONTIENE DOS MODIFICACIONES 17/01/1995 Y 27/01/2004)",2004-01-27T00:00:00Z,2004-01-28T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PRODUCTOS ALIMENTICIOS Y QUIMICO-FARMACEUTICOS PARA USO EN ANIMALES,NO APLICA,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SAGARPA,CCNN DE PROTECCION ZOOSANITARIA (ZOO),http://www.economia-noms.gob.mx/normas/noms/2004/mod012zoo.pdf
NOM-013-ENER-2013,EFICIENCIA ENERGÉTICA PARA SISTEMAS DE ALUMBRADO EN VIALIDADES.,2013-06-17T00:00:00Z,2013-10-15T00:00:00Z,DEFINITIVA,NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL,EFICIENCIA ENERGÉTICA,NO APLICA,FABRICACIÓN DE EQUIPO DE GENERACIÓN ELÉCTRICA Y APARATOS Y ACCESORIOS ELÉCTRICOS,SECRETARÍA DE ENERGÍA,CCNN PARA LA PRESERVACION Y USO RACIONAL DE LOS RECURSOS ENERGETICOS (ENER),http://www.economia-noms.gob.mx/normas/noms/2010/013ener2013.pdf
NOM-013-FITO-1995,POR LA QUE SE ESTABLECE LA CUARENTENA EXTERIOR PARA PREVENIR LA  INTRODUCCIÓN DE PLAGAS DEL ARROZ. (CONTIENE LA MODIFICACION Y LA ACLARACION A LA MISMA),1996-12-02T00:00:00Z,1996-12-03T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,ARROZ,NO APLICA,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SAGARPA,CCNN DE PROTECCION FITOSANITARIA (FITO),http://www.economia-noms.gob.mx/normas/noms/1996/013fitomod.pdf
NOM-013-NUCL-2009,REQUERIMIENTOS DE SEGURIDAD RADIOLÓGICA PARA EGRESAR A PACIENTES A QUIENES SE LES HA ADMINISTRADO MATERIAL RADIACTIVO.,2009-10-20T00:00:00Z,2009-12-19T00:00:00Z,DEFINITIVA,NO ES POSIBLE ESTABLECER CONCORDANCIA CON NORMAS INTERNACIONALES.,PROTECCION HUMANA,NO APLICA,HOSPITALES,SECRETARÍA DE ENERGÍA,CCNN DE SEGURIDAD NUCLEAR Y SALVAGUARDIAS (NUCL),http://www.economia-noms.gob.mx/normas/noms/2009/013nucl2009.pdf
NOM-013-PESC-1994,"PARA REGULAR EL APROVECHAMIENTO DE LAS ESPECIES DE CARACOL EN AGUAS DE  JURISDICCIÓN FEDERAL DE LOS ESTADOS DE CAMPECHE, QUINTANA ROO Y  YUCATÁN.",1995-04-21T00:00:00Z,1995-04-22T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO.,CARACOL,TOTALMENTE,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SAGARPA,CCNN DE NORMALIZACIÓN AGROALIMENTARIA (SAGARPA),http://www.economia-noms.gob.mx/normas/noms/1995/013-pesc.pdf
NOM-013-SCFI-2004,"INSTRUMENTOS DE MEDICIÓN-MANÓMETROS CON ELEMENTO ELÁSTICO-ESPECIFICACIONES Y MÉTODOS DE PRUEBA.
",2005-01-18T00:00:00Z,2005-03-19T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO DE LA NOM,INSTRUMENTOS DE MEDICION,PARCIALMENTE,"FABRICACIÓN DE EQUIPO DE COMPUTACIÓN, COMUNICACIÓN, DE MEDICIÓN Y DE OTROS EQUIPOS, COMPONENTES Y AC",SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2005/013scfi.pdf
